"COUNTRY","Country","BIRTH","Place of birth","HATLEV1D","Educational attainment","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,72.3,,
"FRA","France","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,73.2,,
"DEU","Germany","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,70.8,,
"DEU","Germany","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,70.7,,
"DEU","Germany","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,69.1,,
"DEU","Germany","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,72.6,,
"DEU","Germany","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,73.6,,
"DEU","Germany","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,58.9,,
"DEU","Germany","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,58,,
"DEU","Germany","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,59,,
"DEU","Germany","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,59.7,,
"DEU","Germany","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,61.2,,
"DEU","Germany","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,76.1,,
"DEU","Germany","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,77,,
"DEU","Germany","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,77.5,,
"DEU","Germany","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,78.3,,
"DEU","Germany","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,79.1,,
"DEU","Germany","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,78.1,,
"DEU","Germany","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,78.1,,
"DEU","Germany","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,78.6,,
"DEU","Germany","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,79.5,,
"DEU","Germany","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,80,,
"GRC","Greece","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,55.3,,
"GRC","Greece","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,56.5,,
"GRC","Greece","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,55.5,,
"GRC","Greece","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,55.4,,
"GRC","Greece","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,55.5,,
"GRC","Greece","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,57.9,,
"GRC","Greece","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,60.6,,
"GRC","Greece","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,57.3,,
"GRC","Greece","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,54.8,,
"GRC","Greece","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,56.2,,
"GRC","Greece","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,52.1,,
"GRC","Greece","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,52.2,,
"GRC","Greece","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,53.6,,
"GRC","Greece","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,55.4,,
"GRC","Greece","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,55,,
"GRC","Greece","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,56.3,,
"GRC","Greece","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,56.5,,
"GRC","Greece","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,56.1,,
"GRC","Greece","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,57.1,,
"GRC","Greece","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,55.2,,
"HUN","Hungary","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,74.1,,
"HUN","Hungary","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,78.5,,
"HUN","Hungary","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,80.1,,
"HUN","Hungary","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,77.2,,
"HUN","Hungary","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,82.7,,
"HUN","Hungary","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,57.1,,
"HUN","Hungary","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,67.1,,
"HUN","Hungary","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,74.5,,
"HUN","Hungary","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,75.1,,
"HUN","Hungary","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,75.4,,
"HUN","Hungary","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,73.9,,
"HUN","Hungary","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,77.7,,
"HUN","Hungary","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,80.7,,
"HUN","Hungary","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,73.3,,
"HUN","Hungary","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,81.6,,
"HUN","Hungary","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,80.5,,
"HUN","Hungary","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,86.9,,
